age,blockNum,center,colormap,completionCode,correct,correlation,currentOffsets,distance,education,engagementCorrect,gender,generationTime,modelChoice,noiseAmplitude,noisePerturb,noisePerturbCount,prolificId,responseTime,selectedDecoyType,selection,stimulusCorrect,stimulusNum,trialNum,vis,subjectid
35-44,41,0.098716,Hue-0 with Wave-5,,1,0,0.0,0.0640577024589007,high_school,3,male,1900,2,1.1,1.9,1,5a381de00006450001bf2691,8449,1,5,75,75,1,fieldSmooth,1
35-44,41,0.098716,Hue-0 with Wave-5,,1,0,0.0,0.0514480229750132,high_school,3,male,1120,2,1.1,1.9,1,5a381de00006450001bf2691,4844,1,4,75,76,2,fieldSmooth,1
35-44,42,0.098716,Hue-0 with Wave-2,,1,0,0.0,0.0502787520157606,high_school,3,male,2003,2,1.1,1.9,1,5a381de00006450001bf2691,3090,1,6,75,77,1,fieldSmooth,1
35-44,42,0.098716,Hue-0 with Wave-2,,1,0,0.0,0.1181370414577344,high_school,3,male,892,2,1.1,1.9,1,5a381de00006450001bf2691,3793,1,4,75,78,2,fieldSmooth,1
35-44,1,0.098716,Hue-7 with Wave-9,,1,0,47.19109842023962,0.0785516543983891,high_school,3,male,1269,1,1.1,1.9,1,5bcd315d0f10750001d7f22e,9043,0,5,77,1,1,fieldSmooth,2
35-44,1,0.098716,Hue-7 with Wave-9,,1,0,47.19109842023962,0.0925407567744066,high_school,3,male,1168,2,1.1,1.9,1,5bcd315d0f10750001d7f22e,11135,1,5,77,2,2,fieldSmooth,2
35-44,2,0.098716,Hue-5 with Wave-0,,1,0,8.478160530821302,0.0653521744162614,high_school,3,male,1476,1,1.1,1.9,1,5bcd315d0f10750001d7f22e,5160,0,5,77,3,1,fieldSmooth,2
35-44,2,0.098716,Hue-5 with Wave-0,,1,0,8.478160530821302,0.0431308773047348,high_school,3,male,1526,1,1.1,1.9,1,5bcd315d0f10750001d7f22e,5044,0,6,77,4,2,fieldSmooth,2
35-44,3,0.098716,Hue-0 with Wave-1,,0,0,0.0,0.0921123922021131,high_school,3,male,1499,0,1.1,1.9,1,5bcd315d0f10750001d7f22e,18156,-1,1,77,5,1,fieldSmooth,2
35-44,3,0.098716,Hue-0 with Wave-1,,1,0,0.0,0.0958366550055902,high_school,3,male,1083,2,1.1,1.9,1,5bcd315d0f10750001d7f22e,4829,1,6,77,6,2,fieldSmooth,2
35-44,4,0.098716,Hue-7 with Wave-7,,1,0,47.19109842023962,0.1096167026186313,high_school,3,male,1561,1,1.1,1.9,1,5bcd315d0f10750001d7f22e,9669,0,2,77,7,1,fieldSmooth,2
35-44,4,0.098716,Hue-7 with Wave-7,,1,0,47.19109842023962,0.0568020917483457,high_school,3,male,1227,1,1.1,1.9,1,5bcd315d0f10750001d7f22e,8787,0,4,77,8,2,fieldSmooth,2
